Municipio,Grande regiao,Num Casos,Num obitos
Adamantina,Interior,2,0
Aguaí,Interior,1,0
Águas de Lindóia,Interior,3,1
Águas de São Pedro,Interior,1,0
Agudos,Interior,15,1
Alambari,Interior,1,0
Americana,Interior,33,3
Américo Brasiliense,Interior,5,0
Amparo,Interior,9,0
Andradina,Interior,5,0
Angatuba,Interior,2,1
Aparecida,Interior,1,0
Apiaí,Interior,1,0
Araçariguama,Interior,3,1
Araçatuba,Interior,55,2
Araçoiaba da Serra,Interior,2,0
Arandu,Interior,9,2
Araraquara,Interior,48,3
Araras,Interior,11,0
Arealva,Interior,1,0
Areiópolis,Interior,3,0
Artur Nogueira,Interior,1,0
Arujá,RMSP,42,1
Assis,Interior,8,2
Atibaia,Interior,25,1
Auriflama,Interior,1,0
Avaí,Interior,1,0
Avaré,Interior,11,1
Bady Bassitt,Interior,2,0
Bariri,Interior,1,0
Barra Bonita,Interior,5,0
Barra do Turvo,Interior,1,0
Barretos,Interior,19,2
Barueri,RMSP,246,13
Batatais,Interior,1,0
Bauru,Interior,79,6
Bebedouro,Interior,3,0
Bilac,Interior,1,0
Birigui,Interior,13,0
Biritiba Mirim,RMSP,2,0
Boituva,Interior,6,0
Bom Jesus dos Perdões,Interior,1,0
Borborema,Interior,1,0
Borebi,Interior,2,0
Botucatu,Interior,40,2
Bragança Paulista,Interior,40,9
Brodowski,Interior,5,0
Buritama,Interior,4,0
Cabreúva,Interior,1,0
Caçapava,Interior,8,0
Cachoeira Paulista,Interior,3,0
Caiabu,Interior,1,1
Caieiras,RMSP,68,10
Cajamar,RMSP,21,3
Cajati,Interior,5,0
Cajuru,Interior,2,0
Campinas,Interior,279,12
Campo Limpo Paulista,Interior,13,2
Campos do Jordão,Interior,3,0
Cananéia,Interior,5,0
Capão Bonito,Interior,3,1
Capela do Alto,Interior,1,0
Caraguatatuba,Interior,24,3
Carapicuíba,RMSP,173,8
Castilho,Interior,2,0
Catanduva,Interior,11,3
Cedral,Interior,1,0
Chavantes,Interior,1,0
Conchas,Interior,1,1
Cordeirópolis,Interior,1,0
Cotia,RMSP,143,12
Cravinhos,Interior,8,1
Cruzeiro,Interior,5,1
Cubatão,Interior,31,0
Diadema,RMSP,188,13
Dobrada,Interior,1,0
Dracena,Interior,4,2
Duartina,Interior,1,0
Eldorado,Interior,2,1
Elias Fausto,Interior,1,0
Embu das Artes,RMSP,84,8
Embu-Guaçu,RMSP,15,3
Engenheiro Coelho,Interior,1,0
Espírito Santo do Pinhal,Interior,1,0
Estiva Gerbi,Interior,1,0
Estrela d'Oeste,Interior,1,0
Fartura,Interior,1,0
Fernandópolis,Interior,9,0
Ferraz de Vasconcelos,RMSP,75,3
Franca,Interior,6,0
Francisco Morato,RMSP,60,4
Franco da Rocha,RMSP,111,11
Garça,Interior,2,0
Guaíra,Interior,1,0
Guararapes,Interior,5,0
Guararema,RMSP,3,0
Guaratinguetá,Interior,1,0
Guarujá,Interior,120,4
Guarulhos,RMSP,498,52
Guzolândia,Interior,1,0
Holambra,Interior,1,0
Hortolândia,Interior,21,1
Ibirá,Interior,2,0
Ibiúna,Interior,6,0
Iepê,Interior,1,1
Igaraçu do Tietê,Interior,1,0
Igarapava,Interior,2,0
Igaratá,Interior,2,0
Iguape,Interior,5,0
Ilha Comprida,Interior,13,1
Ilha Solteira,Interior,2,0
Ilhabela,Interior,4,0
Indaiatuba,Interior,16,4
Iracemápolis,Interior,1,0
Itajobi,Interior,2,0
Itanhaém,Interior,9,2
Itapecerica da Serra,RMSP,84,7
Itapetininga,Interior,10,1
Itapeva,Interior,4,0
Itapevi,RMSP,88,14
Itapira,Interior,16,3
Itaquaquecetuba,RMSP,87,11
Itararé,Interior,1,0
Itatiba,Interior,5,1
Itatinga,Interior,1,0
Itirapina,Interior,1,0
Itu,Interior,8,1
Itupeva,Interior,4,1
Ituverava,Interior,1,0
Jaborandi,Interior,1,0
Jaboticabal,Interior,15,4
Jacareí,Interior,28,1
Jaci,Interior,8,0
Jaguariúna,Interior,5,0
Jales,Interior,4,0
Jandira,RMSP,37,3
Jardinópolis,Interior,5,0
Jarinu,Interior,1,1
Jaú,Interior,10,0
Joanópolis,Interior,1,0
José Bonifácio,Interior,2,0
Jundiaí,Interior,80,13
Junqueirópolis,Interior,1,0
Juquiá,Interior,1,0
Juquitiba,RMSP,3,3
Laranjal Paulista,Interior,5,2
Lavrinhas,Interior,2,1
Leme,Interior,6,3
Lençóis Paulista,Interior,5,1
Limeira,Interior,20,1
Lins,Interior,13,3
Lorena,Interior,4,0
Louveira,Interior,8,0
Lucélia,Interior,4,2
Macatuba,Interior,1,0
Macedônia,Interior,1,0
Mairinque,Interior,1,0
Mairiporã,RMSP,21,4
Marília,Interior,9,1
Martinópolis,Interior,1,0
Matão,Interior,3,0
Mauá,RMSP,158,12
Miguelópolis,Interior,1,0
Mineiros do Tietê,Interior,4,1
Miracatu,Interior,4,2
Mirandópolis,Interior,6,2
Mirassol,Interior,6,0
Mococa,Interior,2,1
Mogi das Cruzes,RMSP,176,19
Mogi Guaçu,Interior,17,1
Mogi Mirim,Interior,4,0
Mongaguá,Interior,7,1
Monte Alto,Interior,12,1
Monte Azul Paulista,Interior,1,0
Monte Mor,Interior,4,0
Morro Agudo,Interior,1,0
Morungaba,Interior,5,0
Nazaré Paulista,Interior,4,1
Nhandeara,Interior,1,0
Nova Odessa,Interior,4,1
Olímpia,Interior,4,0
Orlândia,Interior,4,0
Osasco,RMSP,598,62
Ourinhos,Interior,16,2
Palmital,Interior,1,0
Pariquera-Açu,Interior,15,1
Paulínia,Interior,11,1
Paulistânia,Interior,1,0
Pederneiras,Interior,2,1
Pedra Bela,Interior,1,0
Pedro de Toledo,Interior,2,0
Penápolis,Interior,2,1
Peruíbe,Interior,14,0
Piedade,Interior,7,0
Pilar do Sul,Interior,2,0
Pindamonhangaba,Interior,9,1
Pindorama,Interior,4,0
Pinhalzinho,Interior,1,0
Piracaia,Interior,2,1
Piracicaba,Interior,47,5
Piraju,Interior,7,0
Pirajuí,Interior,1,0
Pirapora do Bom Jesus,RMSP,3,0
Pirassununga,Interior,5,0
Piratininga,Interior,4,0
Pitangueiras,Interior,1,1
Poá,RMSP,39,4
Pontal,Interior,4,1
Populina,Interior,1,0
Porto Feliz,Interior,7,0
Porto Ferreira,Interior,2,1
Pradópolis,Interior,1,0
Praia Grande,Interior,98,14
Pratânia,Interior,2,0
Presidente Alves,Interior,1,0
Presidente Prudente,Interior,15,2
Presidente Venceslau,Interior,11,6
Promissão,Interior,3,0
Quatá,Interior,2,0
Quintana,Interior,1,0
Rancharia,Interior,3,0
Registro,Interior,8,3
Ribeirão Pires,RMSP,49,2
Ribeirão Preto,Interior,99,6
Rincão,Interior,1,1
Rinópolis,Interior,1,0
Rio Claro,Interior,16,7
Rio Grande da Serra,RMSP,18,0
Salesópolis,RMSP,1,1
Salto,Interior,6,0
Salto de Pirapora,Interior,8,0
Santa Bárbara d'Oeste,Interior,2,1
Santa Branca,Interior,2,1
Santa Cruz da Conceição,Interior,1,0
Santa Cruz do Rio Pardo,Interior,8,0
Santa Fé do Sul,Interior,2,0
Santa Gertrudes,Interior,1,0
Santa Isabel,RMSP,11,5
Santa Lúcia,Interior,4,0
Santa Rita do Passa Quatro,Interior,1,1
Santana de Parnaíba,RMSP,85,3
Santo André,RMSP,378,20
Santo Antônio da Alegria,Interior,1,1
Santo Antônio do Aracanguá,Interior,1,0
Santo Antônio do Pinhal,Interior,2,0
Santos,Interior,463,27
São Bernardo do Campo,RMSP,511,35
São Caetano do Sul,RMSP,138,9
São Carlos,Interior,15,3
São João da Boa Vista,Interior,15,0
São Joaquim da Barra,Interior,2,0
São José do Rio Pardo,Interior,3,0
São José do Rio Preto,Interior,82,8
São José dos Campos,Interior,185,5
São Lourenço da Serra,RMSP,3,1
São Manuel,Interior,7,1
São Miguel Arcanjo,Interior,3,0
São Paulo,Capital,13989,1172
São Pedro,Interior,1,0
São Roque,Interior,19,1
São Sebastião,Interior,29,2
São Sebastião da Grama,Interior,1,0
São Vicente,Interior,110,1
Serra Negra,Interior,1,0
Serrana,Interior,2,2
Sertãozinho,Interior,11,2
Socorro,Interior,1,0
Sorocaba,Interior,85,15
Sumaré,Interior,17,0
Suzano,RMSP,118,12
Taboão da Serra,RMSP,160,13
Taiaçu,Interior,2,0
Tanabi,Interior,1,0
Taquarituba,Interior,1,0
Tarabai,Interior,2,0
Tatuí,Interior,11,0
Taubaté,Interior,33,4
Terra Roxa,Interior,1,0
Tuiuti,Interior,1,0
Tupã,Interior,2,0
Ubatuba,Interior,12,0
Valinhos,Interior,22,4
Vargem Grande Paulista,RMSP,11,3
Várzea Paulista,Interior,12,2
Vinhedo,Interior,27,2
Vista Alegre do Alto,Interior,1,0
Votorantim,Interior,10,2
Votuporanga,Interior,16,0